Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,0.879210,0.886100,0.879050,0.879240,0.879240,0
2022-01-04,0.884800,0.887040,0.883158,0.884780,0.884780,0
2022-01-05,0.886100,0.886710,0.881400,0.886240,0.886240,0
2022-01-06,0.884000,0.886090,0.882560,0.883900,0.883900,0
2022-01-07,0.885280,0.885700,0.880300,0.885200,0.885200,0
2022-01-10,0.880790,0.885870,0.880300,0.880750,0.880750,0
2022-01-11,0.882400,0.883740,0.879585,0.882580,0.882580,0
2022-01-12,0.879500,0.880610,0.874661,0.879780,0.879780,0
2022-01-13,0.874140,0.874400,0.871150,0.874000,0.874000,0
2022-01-14,0.872860,0.876420,0.870800,0.872820,0.872820,0
2022-01-17,0.876260,0.877720,0.874540,0.876370,0.876370,0
2022-01-18,0.876200,0.882640,0.875400,0.876380,0.876380,0
2022-01-19,0.882610,0.883430,0.880530,0.882640,0.882640,0
2022-01-20,0.881560,0.882600,0.879590,0.881570,0.881570,0
2022-01-21,0.883750,0.884780,0.880200,0.883880,0.883880,0
2022-01-24,0.881760,0.885630,0.881760,0.881720,0.881720,0
2022-01-25,0.883090,0.887560,0.883000,0.883070,0.883070,0
2022-01-26,0.884680,0.887150,0.883900,0.884600,0.884600,0
2022-01-27,0.889500,0.898190,0.889300,0.889400,0.889400,0
2022-01-28,0.897170,0.899010,0.895250,0.897100,0.897100,0
2022-01-31,0.896750,0.897260,0.891510,0.896670,0.896670,0
2022-02-01,0.890540,0.891100,0.886600,0.890500,0.890500,0
2022-02-02,0.887070,0.887550,0.882660,0.887000,0.887000,0
2022-02-03,0.884960,0.887150,0.873310,0.884960,0.884960,0
2022-02-04,0.874500,0.876160,0.870800,0.874450,0.874450,0
2022-02-07,0.873010,0.875910,0.872600,0.872970,0.872970,0
2022-02-08,0.874060,0.877420,0.873300,0.873900,0.873900,0
2022-02-09,0.875570,0.876940,0.873591,0.875560,0.875560,0
2022-02-10,0.875560,0.878670,0.870000,0.875540,0.875540,0
2022-02-11,0.876290,0.879410,0.875733,0.876000,0.876000,0
2022-02-14,0.879830,0.885520,0.879590,0.879890,0.879890,0
2022-02-15,0.884480,0.884500,0.879600,0.884460,0.884460,0
2022-02-16,0.880620,0.881410,0.877720,0.880530,0.880530,0
